iter	Passed	Remaining
0	0	38
1	0	35
2	1	34
3	1	30
4	1	29
5	1	29
6	2	29
7	2	28
8	2	28
9	3	28
10	3	27
11	3	27
12	4	27
13	4	26
14	4	26
15	4	25
16	5	25
17	5	24
18	5	24
19	6	24
20	6	23
21	6	23
22	6	23
23	7	22
24	7	22
25	7	22
26	8	21
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	14	16
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	16	13
56	17	13
57	17	12
58	17	12
59	18	12
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	20	8
70	21	8
71	21	8
72	21	8
73	21	7
74	22	7
75	22	7
76	22	6
77	23	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	4
83	24	4
84	24	4
85	25	4
86	25	3
87	25	3
88	25	3
89	26	2
90	26	2
91	26	2
92	26	2
93	27	1
94	27	1
95	27	1
96	28	0
97	28	0
98	28	0
99	28	0
