iter	Passed	Remaining
0	58	57944
1	58	29125
2	58	19516
3	59	14712
4	59	11831
5	59	9913
6	60	8618
7	61	7571
8	61	6761
9	61	6108
10	62	5580
11	62	5136
12	62	4759
13	63	4438
14	63	4159
15	63	3917
16	64	3701
17	64	3510
18	64	3340
19	65	3185
20	65	3044
21	65	2918
22	65	2803
23	66	2696
24	66	2599
25	66	2508
26	67	2423
27	67	2345
28	67	2272
29	68	2205
30	68	2142
31	68	2083
32	69	2026
33	69	1974
34	69	1924
35	70	1881
36	70	1836
37	70	1794
38	71	1755
39	71	1719
40	71	1683
41	72	1648
42	72	1616
43	72	1584
44	73	1554
45	73	1525
46	73	1498
47	74	1471
48	74	1446
49	74	1422
50	75	1397
51	75	1375
52	75	1354
53	76	1333
54	76	1312
55	76	1293
56	77	1274
57	77	1257
58	77	1240
59	78	1223
60	78	1207
61	78	1190
62	79	1176
63	79	1161
64	79	1148
65	80	1133
66	80	1120
67	80	1108
68	81	1096
69	81	1084
70	81	1072
71	82	1061
72	82	1049
73	83	1038
74	83	1027
75	83	1017
76	84	1007
77	84	997
78	94	1105
79	95	1093
80	95	1083
81	95	1072
82	95	1060
83	96	1050
84	96	1040
85	96	1030
86	97	1021
87	97	1012
88	97	1002
89	98	993
90	98	984
91	98	976
92	99	968
93	99	959
94	99	951
95	100	943
96	100	936
97	100	928
98	101	920
99	101	913
100	101	905
101	102	898
102	102	892
103	102	885
104	103	878
105	103	872
106	103	866
107	104	860
108	104	854
109	104	847
110	105	841
111	105	836
112	105	831
113	106	826
114	106	820
115	107	815
116	107	809
117	107	805
118	108	801
119	109	802
120	109	797
121	110	792
122	110	786
123	110	782
124	111	777
125	111	773
126	111	767
127	112	763
128	112	758
129	112	754
130	113	750
131	113	745
132	113	741
133	114	737
134	114	733
135	114	728
136	115	724
137	115	720
138	115	716
139	116	712
140	116	708
141	116	703
142	116	699
143	117	695
144	117	692
145	117	688
146	118	685
147	118	682
148	118	678
149	119	675
150	119	672
151	120	670
152	120	666
153	120	663
154	121	659
155	121	656
156	121	653
157	121	649
158	122	646
159	122	643
160	122	639
161	123	636
162	123	633
163	123	631
164	124	628
165	124	625
166	124	622
167	125	620
168	125	617
169	125	615
170	126	612
